GEO_ID,NAME,B19001_001E
13001,"Appling County, Georgia",6637
13003,"Atkinson County, Georgia",2968
13005,"Bacon County, Georgia",3874
13007,"Baker County, Georgia",1201
13009,"Baldwin County, Georgia",15948
13011,"Banks County, Georgia",6483
13013,"Barrow County, Georgia",28087
13015,"Bartow County, Georgia",38029
13017,"Ben Hill County, Georgia",6828
13019,"Berrien County, Georgia",6634
13021,"Bibb County, Georgia",58752
13023,"Bleckley County, Georgia",4232
13025,"Brantley County, Georgia",6625
13027,"Brooks County, Georgia",6004
13029,"Bryan County, Georgia",14796
13031,"Bulloch County, Georgia",28917
13033,"Burke County, Georgia",8742
13035,"Butts County, Georgia",8440
13037,"Calhoun County, Georgia",1457
13039,"Camden County, Georgia",20032
13043,"Candler County, Georgia",4034
13045,"Carroll County, Georgia",42635
13047,"Catoosa County, Georgia",25450
13049,"Charlton County, Georgia",3960
13051,"Chatham County, Georgia",115403
13053,"Chattahoochee County, Georgia",2404
13055,"Chattooga County, Georgia",9189
13057,"Cherokee County, Georgia",94208
13059,"Clarke County, Georgia",52352
13061,"Clay County, Georgia",1286
13063,"Clayton County, Georgia",103399
13065,"Clinch County, Georgia",2361
13067,"Cobb County, Georgia",287426
13069,"Coffee County, Georgia",14934
13071,"Colquitt County, Georgia",16219
13073,"Columbia County, Georgia",47597
13075,"Cook County, Georgia",6056
13077,"Coweta County, Georgia",53405
13079,"Crawford County, Georgia",4283
13081,"Crisp County, Georgia",7651
13083,"Dade County, Georgia",6142
13085,"Dawson County, Georgia",9776
13087,"Decatur County, Georgia",10242
13089,"DeKalb County, Georgia",286068
13091,"Dodge County, Georgia",6569
13093,"Dooly County, Georgia",3888
13095,"Dougherty County, Georgia",34338
13097,"Douglas County, Georgia",50188
13099,"Early County, Georgia",4034
13101,"Echols County, Georgia",1327
13103,"Effingham County, Georgia",22313
13105,"Elbert County, Georgia",7773
13107,"Emanuel County, Georgia",8245
13109,"Evans County, Georgia",3886
13111,"Fannin County, Georgia",11188
13113,"Fayette County, Georgia",42351
13115,"Floyd County, Georgia",35859
13117,"Forsyth County, Georgia",82293
13119,"Franklin County, Georgia",8346
13121,"Fulton County, Georgia",441958
13123,"Gilmer County, Georgia",12648
13125,"Glascock County, Georgia",1045
13127,"Glynn County, Georgia",33401
13129,"Gordon County, Georgia",20183
13131,"Grady County, Georgia",9760
13133,"Greene County, Georgia",7324
13135,"Gwinnett County, Georgia",313172
13137,"Habersham County, Georgia",15123
13139,"Hall County, Georgia",67241
13141,"Hancock County, Georgia",2869
13143,"Haralson County, Georgia",11240
13145,"Harris County, Georgia",12194
13147,"Hart County, Georgia",10111
13149,"Heard County, Georgia",4285
13151,"Henry County, Georgia",80672
13153,"Houston County, Georgia",59627
13155,"Irwin County, Georgia",3604
13157,"Jackson County, Georgia",24874
13159,"Jasper County, Georgia",5300
13161,"Jeff Davis County, Georgia",5246
13163,"Jefferson County, Georgia",5625
13165,"Jenkins County, Georgia",3290
13167,"Johnson County, Georgia",3201
13169,"Jones County, Georgia",10444
13171,"Lamar County, Georgia",6811
13173,"Lanier County, Georgia",3529
13175,"Laurens County, Georgia",17366
13177,"Lee County, Georgia",11616
13179,"Liberty County, Georgia",22554
13181,"Lincoln County, Georgia",2953
13183,"Long County, Georgia",5341
13185,"Lowndes County, Georgia",42512
13187,"Lumpkin County, Georgia",11102
13189,"McDuffie County, Georgia",8216
13191,"McIntosh County, Georgia",4706
13193,"Macon County, Georgia",3907
13195,"Madison County, Georgia",10510
13197,"Marion County, Georgia",2924
13199,"Meriwether County, Georgia",7895
13201,"Miller County, Georgia",2531
13205,"Mitchell County, Georgia",7946
13207,"Monroe County, Georgia",10176
13209,"Montgomery County, Georgia",2857
13211,"Morgan County, Georgia",7246
13213,"Murray County, Georgia",14431
13215,"Muscogee County, Georgia",78491
13217,"Newton County, Georgia",39342
13219,"Oconee County, Georgia",13965
13221,"Oglethorpe County, Georgia",5276
13223,"Paulding County, Georgia",54961
13225,"Peach County, Georgia",10209
13227,"Pickens County, Georgia",12646
13229,"Pierce County, Georgia",7235
13231,"Pike County, Georgia",6200
13233,"Polk County, Georgia",15507
13235,"Pulaski County, Georgia",3084
13237,"Putnam County, Georgia",9499
13239,"Quitman County, Georgia",946
13241,"Rabun County, Georgia",6585
